MSB	PRG	LSB	NME	LVL
121	067	032	Bari.Sax	0
121	068	032	Oboe	0
121	069	032	Eng.Horn	0
121	070	032	Bassoon	0
121	071	032	Clarinet	0
121	072	032	Piccolo	0
121	072	033	SmolOrch	1
121	072	034	Nay	1
121	073	032	Flute	0
121	073	033	JazFlute	1
121	073	034	FltSwtch	1
121	073	035	FlDyn5th	1
121	073	036	FltFrull	1
121	073	037	Orch.Flt	1
121	073	038	MutedFlt	1
121	073	039	WoodnFlt	1
121	073	040	BambuFlt	1
121	073	041	Flute 2	1
121	074	032	Recorder	0
121	075	032	PanFlute	0
121	076	032	BotlBlow	0
121	077	032	Shakhchi	0
121	078	032	Whistle	0
121	079	032	Ocarina	0
121	080	032	SquareLd	0
121	080	033	SqrLead2	0
121	080	034	SineLead	0
121	080	035	OldPortm	1
121	080	036	Dance Ld	1
121	080	037	WaveLead	1
121	080	038	SineWave	1
121	080	039	AnalogLd	1
121	080	040	Old&Anlg	1
121	080	041	GlidnSqr	1
121	080	042	SneSwtch	1
121	080	043	ResSqrLd	1
121	081	032	Saw Lead	0
121	081	033	SawLead2	0
121	081	034	Dr. Lead	0
121	081	035	DoublSaw	0
121	081	036	SeqAnalg	0
121	081	037	PowerSaw	1
121	081	038	OctoLead	1
121	081	039	SeqSawLd	1
121	081	040	FatSawLd	1
121	081	041	Glide Ld	1
121	081	042	FireWave	1
121	081	043	Rezbo	1
121	081	044	SynPnoid	1
121	082	032	CaliopLd	0
121	083	032	Chiff Ld	0
121	084	032	CharanLd	0
121	084	033	WireLead	0
121	085	032	Voice Ld	0
121	086	032	Fifth Ld	0
121	087	032	Bass&Ld	0
121	087	033	SftWhirl	0
121	088	032	NewAgePd	0
121	089	032	Warm Pad	0
121	089	033	Sine Pad	0
121	089	034	MasterPd	1
121	089	035	PwrSynth	1
121	089	036	The Pad	1
121	089	037	MoneyPad	1
121	089	038	Dark Pad	1
121	089	039	FreedmPd	1
121	089	040	AnalogPd	1
121	089	041	AnalgPd2	1
121	090	032	PolySyPd	0
121	090	033	Reso.Swp	1
121	090	034	SkyWcher	1
121	090	035	SynSweep	1
121	090	036	SuperSwp	1
121	090	037	WavSweep	1
121	090	038	CrossSwp	1
121	090	039	DigiPly6	1
121	090	040	NzyStabb	1
121	090	041	Mega Syn	1
121	090	042	TknoPhnc	1
121	090	043	Farluce	1
121	091	032	ChoirPad	0
121	091	033	Itopia	0
121	091	034	FreshAir	1
121	091	035	HeavenPd	1
121	091	036	PopSynPd	1
121	091	037	FuturePd	1
121	091	038	TsnamiWv	1
121	091	039	FrshBrth	1
121	091	040	RvlianPd	1
121	091	041	FulVoxPd	1
