voiceId	scSqr	scScale
gs2:HornOrch		
gs3:Syn.Horn		
gs3:RipFrHrn		
gs1:BrasSect	1	0.75
gs3:BrasSect		
gs3:Brass ff		
gs3:BoneSect		
gs4:StBrs ff		
gs4:QuadBras		
gs4:QuadBrs2		
gs1:BrsSect2	1	0.625
gs3:BrsSect3		
gs3:SforzBrs		
gs4:SfzBras2		
gs4:PopBrass		
gs2:BrasFall		
gs3:Trp Fall		
gs3:OctBrass		
gs3:Brs+Reed		
gs4:Fat+Reed		
gs4:OrchBras		
gs4:OrchBrs2		
gs4:StPopBrs		
gs4:StOrchBr		
gs4:StOrBrs2		
gs4:StOrBrs3		
gs1:SynBras1	1	0.375
gs2:SynBras1		
gs3:SynBras1		
gs2:PolyBras		
gs3:JUNO Brs		
gs3:StackBrs		
gs3:SH-5 Brs		
gs3:MKS Bras		
gs4:JumpBras		
gs1:SynBras3	1	0.3125
gs3:ProBrass		
gs2:QuackBrs		
gs3:P5 Brass		
gs4:OrchSyBr		
gs1:AnalgBrs	1	0.3125
gs2:Octa.Brs		
gs3:OctSynBr		
gs3:HybridBr		
gs4:OctSyBr2		
gs4:BPF Bras		
gs1:SynBras2	1	0.4375
gs3:SynBras2		
gs2:SoftBras		
gs3:WarmBras		
gs4:SynBras3		
gs4:SyncBras		
gs4:FatSncBr		
gs4:DeepSyBr		
gs1:SynBras4	1	0.375
gs3:SynSfzBr		
gs3:OB Brass		
gs3:RezBrass		
gs4:DstSqrBr		
gs4:JP8kSwBr		
gs1:Ana.Brs2	2	0.5
gs2:VeloBras		
gs2:VeloBrs2		
gs3:TransBrs		
gs1:SprnoSax	1	0.625
gs2:SprnoSax		
gs3:SprnoSax		
gs3:ExpSprno		
gs1:Alto Sax	2	0.75
gs2:Alto Sax		
gs3:Alto Sax		
gs2:HyprAlto		
gs3:Exp.Alto		
gs3:Grow Sax		
gs3:Alto+Trp		
gs4:Sax Sect		
gs1:TenorSax	1	0.4375
gs2:TenorSax		
gs3:TenorSax		
gs3:TenrSax2		
gs2:BrthTnSx		
gs3:St.TnrSx		
gs1:Bari.Sax	1	0.6875
gs2:Bari.Sax		
gs3:Bari.Sax		
gs3:BariSax2		
gs4:Bari&Tnr		
gs1:Oboe	1	0.75
gs2:Oboe		
gs3:Oboe		
gs4:Oboe		
gs3:Exp.Oboe		
gs3:Mul.Reed		
gs1:Eng.Horn	1	0.8125
gs2:Eng.Horn		
gs1:Bassoon	1	0.6875
gs2:Bassoon		
gs1:Clarinet	1	0.625
gs2:Clarinet		
gs2:BsClari.		
gs3:MultiWnd		
gs4:QuadWind		
gs1:Piccolo	1	0.625
gs2:Piccolo		
gs3:Piccolo2		
gs3:Nay		
gs3:NayTrem.		
gs3:Di Zi		
gs1:Flute	1	0.875
gs2:Flute		
gs3:Flute 2		
gs3:ExpFlute		
gs3:TrvFlute		
gs3:FluteVln		
gs4:PipeReed		
gs3:TrnFlute		
gs4:IndiaFlu		
gs1:Recorder	1	0.8125
gs1:PanFlute	1	0.6875
gs2:PanFlute		
gs2:Kawala		
gs3:Zampona		
gs3:ZmpnaAtk		
gs4:TinWhist		
gs4:TinWhsNm		
gs4:TinWhsOr		
